"","neighborhood","zone","population","crimes_total","rate","intercept","outlier_flag"
"172","Ridgewood Heights","2",601,15,24.9584026622296,39.8853061239381,"0"
"173","Riverside","1",1341,1,0.745712155108128,39.8853061239381,"0"
"174","Riverside","2",1341,123,91.7225950782998,39.8853061239381,"0"
"175","Rockdale","1",611,47,76.9230769230769,39.8853061239381,"0"
"176","Rockdale","2",611,1,1.6366612111293,39.8853061239381,"0"
"177","Rosedale Heights","2",844,1,1.18483412322275,39.8853061239381,"0"
"178","Rosedale Heights","3",844,43,50.9478672985782,39.8853061239381,"0"
"179","Scotts Crossing","1",1164,56,48.1099656357388,39.8853061239381,"0"
"180","South Atlanta","3",1738,98,56.3866513233602,39.8853061239381,"0"
"181","South Atlanta","6",1738,1,0.575373993095512,39.8853061239381,"0"
"182","South River Gardens","1",2279,1,0.438788942518649,39.8853061239381,"0"
"183","South River Gardens","3",2279,142,62.3080298376481,39.8853061239381,"0"
"184","South Tuxedo Park","2",1085,117,107.834101382488,39.8853061239381,"0"
"185","Southwest","4",4158,197,47.3785473785474,39.8853061239381,"0"
"186","Springlake","2",1031,11,10.6692531522793,39.8853061239381,"0"
"187","Summerhill","3",2025,140,69.1358024691358,39.8853061239381,"0"
"188","Swallow Circle/Baywood","3",577,12,20.7972270363951,39.8853061239381,"0"
"189","Sweet Auburn","5",1882,1,0.53134962805526,39.8853061239381,"0"
"190","Sweet Auburn","6",1882,229,121.679064824655,39.8853061239381,"1"
"191","Sylvan Hills","3",4669,351,75.1766973656029,39.8853061239381,"0"
"192","The Villages at Carver","3",1039,106,102.021174205967,39.8853061239381,"0"
"193","The Villages at East Lake","6",1460,47,32.1917808219178,39.8853061239381,"0"
"194","Thomasville Heights","3",2739,108,39.4304490690033,39.8853061239381,"0"
"195","Tuxedo Park","2",1182,13,10.9983079526227,39.8853061239381,"0"
"196","Underwood Hills","2",3410,266,78.0058651026393,39.8853061239381,"0"
"197","Venetian Hills","4",3790,201,53.0343007915567,39.8853061239381,"0"
"198","Vine City","1",2785,345,123.877917414722,39.8853061239381,"1"
"199","Vine City","2",2785,1,0.359066427289048,39.8853061239381,"0"
"200","Vine City","3",2785,1,0.359066427289048,39.8853061239381,"0"
"201","Vine City","5",2785,1,0.359066427289048,39.8853061239381,"0"
"202","Washington Park","1",1124,87,77.4021352313167,39.8853061239381,"0"
"203","Washington Park","2",1124,1,0.889679715302491,39.8853061239381,"0"
"204","Washington Park","4",1124,1,0.889679715302491,39.8853061239381,"0"
"205","West End","1",4270,27,6.3231850117096,39.8853061239381,"0"
"206","West End","4",4270,507,118.735362997658,39.8853061239381,"0"
"207","West End","5",4270,1,0.234192037470726,39.8853061239381,"0"
"208","West Highlands","1",1164,83,71.3058419243986,39.8853061239381,"0"
"209","West Highlands","2",1164,1,0.859106529209622,39.8853061239381,"0"
"210","West Lake","1",1256,55,43.7898089171974,39.8853061239381,"0"
"211","West Paces Ferry/Northside","2",1218,33,27.0935960591133,39.8853061239381,"0"
"212","Westview","4",3020,158,52.317880794702,39.8853061239381,"0"
"213","Westview","6",3020,1,0.33112582781457,39.8853061239381,"0"
"214","Westwood Terrace","4",733,19,25.9208731241473,39.8853061239381,"0"
"215","Whittier Mill Village","2",617,53,85.8995137763371,39.8853061239381,"0"
"216","Wilson Mill Meadows","4",1096,27,24.6350364963504,39.8853061239381,"0"
"217","Wisteria Gardens","4",512,13,25.390625,39.8853061239381,"0"
